C1:1
C10:1
C11:1
C2:1
C25:1
C26:1
C27:1
C28:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
G***:3
J1:1
J2:1
JP1:1
JP16:1
JP17:1
JP18:1
JP19:1
JP2:1
JP20:1
JP21:1
JP22:1
JP23:1
JP3:1
JP30:1
JP34:1
JP4:1
JP5:1
JP6:1
JP7:1
JP8:1
JP9:1
LED1:1
Q3:1
R1:1
R10:1
R11:1
R12:1
R13:1
R19:1
R2:1
R25:1
R29:1
R3:1
R30:1
R31:1
R32:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
U1:1
U2:1
U5:1
USBC1:1
X1:1
